"World",7700000000
"Mainland China",1386000000
"Italy",60480000
"Iran",81160000
"Korea, South",51470000
"France",66990000
"Spain",46660000
"Germany",82790000
"Cruise Ship",3711
"Switzerland",8570000
"Japan",126800000
"Norway",5368000
"Netherlands",17180000
"Sweden",10120000
"United Kingdom",66440000
"Denmark",5603000
"US",327200000
"Belgium",11400000
"Qatar",2639000
"Austria",8822000
"Bahrain",1493000
"Singapore",5612000
"Malaysia",31620000
"Israel",8712000
"Greece",10740000
"Czechia",10650000
"Iceland",364260
"United Arab Emirates",9400000
"Kuwait",4137000
"Iraq",38270000
"Australia",24600000
"India",1339000000
"San Marino",33400
"Lebanon",6082000
"Egypt",97550000
"Finland",5513000
"Portugal",10290000
"Thailand",69040000
"Slovenia",2067000
"Philippines",104900000
"Taiwan*",23780000
"Romania",19530000
"Ireland",4830000
"Canada",37590000
"Brazil",209300000
"Vietnam",95540000
"Indonesia",264000000
"Poland",37980000
"Georgia",3717000
"Chile",18050000
"Saudi Arabia",32940000
"Algeria",41320000
"Russia",114500000
"Argentina",44270000
"Croatia",4076000
"Pakistan",197000000
"Oman",4636000
"Ecuador",16620000
"Estonia",1328000
"Costa Rica",4906000
"Hungary",9773000
"South Africa",56720000
"Albania",2877000
"Serbia",7022000
"Azerbaijan",9898000
"Brunei",428697
"Peru",32170000
"Latvia",1920000
"Slovakia",5450000
"Belarus",9508000
"Colombia",49070000
"Maldives",436330
"Mexico",129200000
"Panama",4099000
"Afghanistan",35530000
"Bosnia and Herzegovina",3507000
"Bulgaria",7050000
"Luxembourg",602005
"North Macedonia",2077000
"Tunisia",11530000
"Cyprus",1170000
"Malta",493559
"Dominican Republic",11770000
"French Guiana",290691
"Morocco",35740000
"New Zealand",4794000
"Paraguay",6811000
"Senegal",15850000
"Bangladesh",164700000
"Cambodia",16010000
"Lithuania",2794000
"Martinique",376480
"Moldova",3550000
"Bolivia",11050000
"Burkina Faso",19190000
"Cameroon",24050000
"Honduras",9265000
"Nigeria",190900000
"Sri Lanka",21440000
"Andorra",76965
"Armenia",2973000
"Bhutan",807610
"Congo (Kinshasa)",81340000
"Cote d'Ivoire",24290000
"Holy See",1000
"Jamaica",2890000
"Jordan",9702000
"Liechtenstein",38557
"Monaco",38695
"Mongolia",3076000
"Nepal",29300000
"Reunion",859959
"Togo",7798000
"Turkey",80810000
"Ukraine",42220000
"occupied Palestinian territory",2800000
"Russian Federation",0
"China",0
"Others",0
"Taiwan",0
"Taipei and environs",0
"Iran (Islamic Republic of)",0
"Republic of Korea",0
"South Korea",0
"Hong Kong",0
"Hong Kong SAR",0
"Uruguay",3457000
"Venezuela",31980000
"Kazakhstan",18040000
"Guadeloupe",395700
"Uzbekistan",32390000
"Rwanda",12210000
"Cuba",11480000
"Ghana",28830000
"Guyana",777859
"Trinidad and Tobago",1369000
"Ethiopia",105000000
"Guatemala",16910000
"Aruba",105264
"Equatorial Guinea",1268000
"Seychelles",95843
"Kenya",49700000
"Kyrgyzstan",6202000
"Mauritius",1265000
"Mayotte",270372
"Tanzania",57310000
"Barbados",285719
"Benin",11180000
"Kosovo",1831000
"Liberia",4732000
"Namibia",2534000
"Saint Lucia",178844
"Sudan",40530000
"Zambia",17090000
"Antigua and Barbuda",102012
"Central African Republic",4659000
"Congo (Brazzaville)",0
"Djibouti",956985
"Eswatini",1367000
"Gabon",2025000
"Gambia, The",2101000
"Greenland",56171
"Guinea",12720000
"Mauritania",4420000
"Montenegro",631219
"Saint Vincent and the Grenadines",109897
"Somalia",14740000
"Suriname",563402
"The Bahamas",395361
"Guam",164229
"Guernsey",66697
"Jersey",97857
"Puerto Rico",0
"Republic of the Congo",5261000
"The Gambia",0
"Bahamas, The",0
"Chad",14900000
"El Salvador",6378000
"Fiji",905502
"Nicaragua",6218000
"Cabo Verde",546388
"Madagascar",25570000
"Zimbabwe",16530000
"Angola",29780000
"Haiti",10980000
"Cape Verde",546388
"East Timor",1296000
"Eritrea",4475000
"Niger",21480000
"Papua New Guinea",8251000
"Uganda",42860000
"Bahamas",0
"Belize",374681
"Dominica",73925
"Gambia",0
"Grenada",107825
"Mozambique",29670000
"Syria",18270000
"Timor-Leste",1296000
"Diamond Princess",0
"Guinea-Bissau",1861000
"Laos",6858000
"Libya",6375000
"Mali",18540000
"Saint Kitts and Nevis",55345
"UK",0
"Macau",0